srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
59.166.0.7,41493,149.171.126.9,9860,tcp,FIN,0.06289299999999999,2854,29218,31,29,7,17,-,355142.8438,3639196.5,46,48,255,255,1934501872,4115619046,62,609,0,0,94.004196,90.945929,1421945163,1421945163,1.3904889999999999,1.326532,0.000691,0.000542,0.000149,0,0,0,0,0,4,14,9,4,1,1,1
59.166.0.2,59269,149.171.126.0,6881,tcp,FIN,8.138341,32674,1510488,31,29,51,536,-,32064.51953,1483549.5,584,1176,255,255,973330003,978035424,56,1284,0,0,5527.498636,3892.801423,1421944904,1421944912,13.958886999999999,6.92585,0.000607,0.000465,0.00014199999999999998,0,0,0,0,0,10,12,8,10,8,6,8
59.166.0.5,62330,149.171.126.1,22,tcp,FIN,0.015758,12368,13132,31,29,17,17,-,6187079.5,6568854.0,68,68,255,255,1528812348,3674510482,182,193,0,0,15.301504999999999,0.0,1421945012,1421945012,0.23519400000000001,0.22456700000000002,0.000704,0.0005740000000000001,0.00013000000000000002,0,0,0,0,0,13,14,15,13,5,5,5
59.166.0.0,52724,149.171.126.5,25,tcp,FIN,0.810717,37180,3380,31,29,18,8,smtp,359829.625,32563.76758,52,42,255,255,1804467114,4009680006,715,80,0,0,1521.752195,50.026383,1421953911,1421953911,15.889588,19.762098,0.0006129999999999999,0.00046699999999999997,0.000146,0,0,0,0,0,1,1,7,4,1,1,1
59.166.0.1,1151,149.171.126.9,111,udp,CON,0.004884,568,304,31,29,0,0,-,697788.6875,373464.375,4,4,0,0,0,0,142,76,0,0,1.7682930000000001,1.540314,1421947380,1421947380,1.271333,1.097667,0.0,0.0,0.0,0,0,0,0,0,4,7,4,3,1,1,2
59.166.0.1,32849,149.171.126.6,53,udp,CON,0.001088,146,178,31,29,0,0,dns,536764.6875,654411.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421949478,1421949478,0.011000000000000001,0.005,0.0,0.0,0.0,0,0,0,0,0,2,3,2,3,1,1,2
59.166.0.1,59919,149.171.126.0,53,udp,CON,0.001145,146,178,31,29,0,0,dns,510043.6875,621834.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945158,1421945158,0.009000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,4,4,10,4,4,3,3
59.166.0.5,16898,149.171.126.4,80,tcp,FIN,1.45266,1684,10168,31,29,3,5,http,8613.165039,52890.5625,14,18,255,255,2317892610,172420391,120,565,0,0,9232.418539,8087.819836,1421941069,1421941071,111.71515600000001,85.418059,0.000704,0.0005480000000000001,0.000156,0,0,0,0,0,5,3,4,2,2,1,1
59.166.0.9,40714,149.171.126.7,45655,udp,CON,1.022169,536,304,31,29,0,0,-,3146.250732,1784.440796,4,4,0,0,0,0,134,76,0,0,355.429094,354.04506200000003,1421945198,1421945199,251.33632799999998,250.35467200000002,0.0,0.0,0.0,0,0,0,0,0,25,9,6,21,3,3,5
59.166.0.2,26022,149.171.126.2,143,tcp,FIN,0.035033,7806,14704,31,29,30,32,-,1768161.5,3331259.25,122,126,255,255,457531242,458550499,64,117,0,0,18.265869,15.699101,1421941993,1421941993,0.286554,0.276072,0.000653,0.0005200000000000001,0.000133,0,0,0,0,0,3,5,2,2,1,1,2
59.166.0.1,21016,149.171.126.1,1067,tcp,FIN,0.39433,4824,3080,31,29,7,7,-,94377.80469,60416.40234,28,30,255,255,2368195652,2509242896,172,103,0,0,806.303438,20.410726999999998,1421950984,1421950984,14.592629999999998,13.577275,0.000724,0.000584,0.00014,0,0,0,0,0,4,10,6,4,1,1,4
59.166.0.2,19992,149.171.126.1,111,udp,CON,0.330227,568,312,31,29,0,0,-,10320.17383,5668.828125,4,4,0,0,0,0,142,78,0,0,148.502094,136.581453,1421945383,1421945384,105.01433600000001,96.58266400000001,0.0,0.0,0.0,0,0,0,0,0,15,8,7,5,2,2,2
149.171.126.18,1043,175.45.176.1,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421932225,1421932225,0.008,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,3,3,3,3,3
59.166.0.1,22915,149.171.126.0,21038,tcp,FIN,0.012715,2766,24114,31,29,7,16,-,1701297.75,14842313.0,44,46,255,255,759944018,778927986,63,524,0,0,0.0,16.489453,1421931031,1421931031,0.288698,0.270289,0.0006799999999999999,0.0005480000000000001,0.000132,0,0,0,0,0,6,1,1,7,1,1,1
59.166.0.5,29460,149.171.126.6,55163,tcp,FIN,0.070886,4014,57836,31,29,7,28,-,446350.4688,6433992.5,68,70,255,255,4161367265,2032544848,59,826,0,0,0.0,65.647598,1421937826,1421937826,1.053343,1.02042,0.00064,0.00047300000000000006,0.000167,0,0,0,0,0,2,2,2,4,1,1,1
